filename,basename,toolid,toolmode,tool_args,parser_version,runid,start,duration,exit_code,findings,classified_findings,infos,errors,fails
samples/Split3/roulette.sol,roulette.sol,confuzzius,solidity,,2022/12/31,d_20250918_1707,1758208384.600935,132.0488109588623,0,"{Block_Dependency@18,Block_Dependency@20}",{WEAK_RANDOMNESS},{},{},{}
samples/Split3/roulette.sol,roulette.sol,conkas,solidity,-vt time_manipulation,2022/11/11,d_20250918_1707,1758208062.4018,1.381486177444458,0,"{Time_Manipulation@18,Time_Manipulation@20,Time_Manipulation@21}",{BLOCK_DEPENDENCE},{},{},{}
samples/Split3/roulette.sol,roulette.sol,maian,solidity,,2022/11/11,d_20250918_1707,1758208232.9944792,151.26999497413635,,{},{},{},{Transaction HexBytes('0x5da8351866753af5d4026f805e12ac98c083ad6e},{DOCKER_TIMEOUT}
samples/Split3/roulette.sol,roulette.sol,manticore-0.3.7,solidity,--thorough-mode,2022/11/17,d_20250918_1707,1758208225.96324,4.835301160812378,0,{},{},{},{},{}
samples/Split3/roulette.sol,roulette.sol,mythril-0.24.7,solidity,,2024/03/24,d_20250918_1707,1758208071.765886,150.52253794670105,,{},{},{},{},{DOCKER_TIMEOUT}
samples/Split3/roulette.sol,roulette.sol,osiris,solidity,,2023/02/27,d_20250918_1707,1758208064.097604,2.139539957046509,0,{},{},{},{},{}
samples/Split3/roulette.sol,roulette.sol,securify,solidity,,2022/11/17,d_20250918_1707,1758208222.6187892,2.9853758811950684,0,{},{},{analysis incomplete},{},{execution failed}
samples/Split3/roulette.sol,roulette.sol,slither-0.10.4,solidity,,2024/04/30,d_20250918_1707,1758208061.004363,0.928351879119873,255,"{arbitrary_send_eth@15,incorrect_equality@15,solc_version,solc_version@7,timestamp@15,weak_prng@15}","{ARBITRARY_SEND,BLOCK_DEPENDENCE,INTEGER_OVERFLOW,OUTDATED_COMPILER,OVERFLOW,UNLOCKED_ETHER,WEAK_RANDOMNESS}",{},{},{}
samples/Split3/roulette.sol,roulette.sol,smartcheck,solidity,,2022/11/14,d_20250918_1707,1758208066.5356889,4.8459272384643555,0,"{SOLIDITY_EXACT_TIME@18,SOLIDITY_EXACT_TIME@21,SOLIDITY_LOCKED_MONEY@9,SOLIDITY_PRAGMAS_VERSION@7,SOLIDITY_UPGRADE_TO_050@15}","{BLOCK_DEPENDENCE,DOS_GAS_LIMIT,GREEDY_CONTRACT,OUTDATED_SOLC,VERSION_PRAGMA}",{},{},{}
samples/Split3/roulette.sol,roulette.sol,solhint-3.3.8,solidity,,2023/02/12,d_20250918_1707,1758208231.1008599,1.6138291358947754,1,"{compiler_version@7,no_complex_fallback@15,no_empty_blocks@12,not_rely_on_time@18,not_rely_on_time@20,not_rely_on_time@21,reason_string@16,reason_string@18}","{BLOCK_DEPENDENCE,UNCLASSIFIED}",{},{EXIT_CODE_1},{}
