filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/etherbank.sol,etherbank.sol,confuzzius,solidity,2022/12/31,20250624_1548,1750780255.8494911,2.945930242538452,0,{Reentrancy},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/insecure_transfer.sol,insecure_transfer.sol,confuzzius,solidity,2022/12/31,20250624_1548,1750781245.7876947,2.896024465560913,0,{},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/modifier_reentrancy.sol,modifier_reentrancy.sol,confuzzius,solidity,2022/12/31,20250624_1548,1750780476.9212863,3.7084004878997803,0,{},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/reentrance.sol,reentrance.sol,confuzzius,solidity,2022/12/31,20250624_1548,1750780199.3343425,4.087989330291748,0,"{Reentrancy,Unhandled_Exception}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/reentrancy_dao.sol,reentrancy_dao.sol,confuzzius,solidity,2022/12/31,20250624_1548,1750781248.6844623,2.7298061847686768,0,"{Reentrancy,Transaction_Order_Dependency}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/timelock.sol,timelock.sol,confuzzius,solidity,2022/12/31,20250624_1548,1750780420.688601,4.245557069778442,0,{Integer_Overflow},{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/token.sol,token.sol,confuzzius,solidity,2022/12/31,20250624_1548,1750780489.6705284,3.3923392295837402,0,{Integer_Overflow},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/etherbank.sol,etherbank.sol,maian,solidity,2022/11/11,20250624_1548,1750780718.054967,33.62720465660095,0,{No_Ether_lock_Ether_refused},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/insecure_transfer.sol,insecure_transfer.sol,maian,solidity,2022/11/11,20250624_1548,1750780386.3882332,34.299638748168945,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/modifier_reentrancy.sol,modifier_reentrancy.sol,maian,solidity,2022/11/11,20250624_1548,1750780288.2832823,96.73628783226013,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/reentrance.sol,reentrance.sol,maian,solidity,2022/11/11,20250624_1548,1750780147.3851764,31.597455978393555,0,{Not_destructible_no_self_destruct},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/reentrancy_dao.sol,reentrancy_dao.sol,maian,solidity,2022/11/11,20250624_1548,1750780546.3580184,26.997650384902954,0,{Not_destructible_no_self_destruct},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/timelock.sol,timelock.sol,maian,solidity,2022/11/11,20250624_1548,1750781206.2729216,39.514145612716675,0,{Not_destructible_no_self_destruct},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/token.sol,token.sol,maian,solidity,2022/11/11,20250624_1548,1750780424.9349856,34.202247858047485,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/etherbank.sol,etherbank.sol,manticore-0.3.7,solidity,2022/11/17,20250624_1548,1750780494.1243808,13.54720163345337,0,{},{},{},"{exception (manticore.core.state.Concretize),exception (manticore.exceptions.ManticoreError: Forking on unfeasible constraint set)}"
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/insecure_transfer.sol,insecure_transfer.sol,manticore-0.3.7,solidity,2022/11/17,20250624_1548,1750780203.4231112,14.679158449172974,0,{},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/modifier_reentrancy.sol,modifier_reentrancy.sol,manticore-0.3.7,solidity,2022/11/17,20250624_1548,1750781251.4171896,15.004413843154907,0,{},{},{},"{exception (manticore.core.state.Concretize),exception (manticore.exceptions.ManticoreError: Forking on unfeasible constraint set)}"
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/reentrance.sol,reentrance.sol,manticore-0.3.7,solidity,2022/11/17,20250624_1548,1750780573.3562236,61.86964416503906,0,{},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/reentrancy_dao.sol,reentrancy_dao.sol,manticore-0.3.7,solidity,2022/11/17,20250624_1548,1750780098.1289551,38.074819564819336,0,{},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/timelock.sol,timelock.sol,manticore-0.3.7,solidity,2022/11/17,20250624_1548,1750780866.5228808,339.74636244773865,0,{},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/token.sol,token.sol,manticore-0.3.7,solidity,2022/11/17,20250624_1548,1750780754.6274462,111.89350438117981,0,{},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/etherbank.sol,etherbank.sol,mythril-0.24.7,solidity,2024/03/24,20250624_1548,1750780459.1379097,17.782043933868408,1,"{External_Call_To_User_Supplied_Address_SWC_107,State_access_after_external_call_SWC_107,Transaction_Order_Dependence_SWC_114}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/insecure_transfer.sol,insecure_transfer.sol,mythril-0.24.7,solidity,2024/03/24,20250624_1548,1750780136.2078352,11.176461935043335,0,{},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/modifier_reentrancy.sol,modifier_reentrancy.sol,mythril-0.24.7,solidity,2024/03/24,20250624_1548,1750780507.6725826,36.15446329116821,1,"{External_Call_To_User_Supplied_Address_SWC_107,State_access_after_external_call_SWC_107}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/reentrance.sol,reentrance.sol,mythril-0.24.7,solidity,2024/03/24,20250624_1548,1750780635.2279453,76.9695394039154,1,"{External_Call_To_User_Supplied_Address_SWC_107,State_access_after_external_call_SWC_107,Unchecked_return_value_from_external_call_SWC_104,Unprotected_Ether_Withdrawal_SWC_105}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/reentrancy_dao.sol,reentrancy_dao.sol,mythril-0.24.7,solidity,2024/03/24,20250624_1548,1750780258.7961998,29.486090421676636,1,"{External_Call_To_User_Supplied_Address_SWC_107,State_access_after_external_call_SWC_107,Transaction_Order_Dependence_SWC_114}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/timelock.sol,timelock.sol,mythril-0.24.7,solidity,2024/03/24,20250624_1548,1750780218.104094,37.74481177330017,1,"{Dependence_on_predictable_environment_variable_SWC_116,Transaction_Order_Dependence_SWC_114}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/token.sol,token.sol,mythril-0.24.7,solidity,2024/03/24,20250624_1548,1750780178.985048,17.198906183242798,1,{Integer_Arithmetic_Bugs_SWC_101},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/etherbank.sol,etherbank.sol,slither-0.10.4,solidity,2024/04/30,20250624_1548,1750780493.06382,1.059584379196167,255,"{deprecated_standards,low_level_calls,reentrancy_eth,solc_version}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/insecure_transfer.sol,insecure_transfer.sol,slither-0.10.4,solidity,2024/04/30,20250624_1548,1750780385.0222085,1.3651340007781982,255,"{erc20_interface,naming_convention,solc_version}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/modifier_reentrancy.sol,modifier_reentrancy.sol,slither-0.10.4,solidity,2024/04/30,20250624_1548,1750780096.6133566,1.5146183967590332,255,"{naming_convention,reentrancy_no_eth,solc_version,unused_state}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/reentrance.sol,reentrance.sol,slither-0.10.4,solidity,2024/04/30,20250624_1548,1750780483.4917414,1.0239613056182861,255,"{low_level_calls,naming_convention,redundant_statements,reentrancy_eth,solc_version}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/reentrancy_dao.sol,reentrancy_dao.sol,slither-0.10.4,solidity,2024/04/30,20250624_1548,1750780714.787681,1.284212350845337,255,"{low_level_calls,reentrancy_eth,solc_version}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/timelock.sol,timelock.sol,slither-0.10.4,solidity,2024/04/30,20250624_1548,1750780716.0726116,0.9541261196136475,255,"{naming_convention,solc_version,timestamp}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/token.sol,token.sol,slither-0.10.4,solidity,2024/04/30,20250624_1548,1750780717.0274944,1.026012897491455,255,"{naming_convention,solc_version,tautology}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/etherbank.sol,etherbank.sol,smartcheck,solidity,2022/11/14,20250624_1548,1750780480.6303225,2.8599491119384766,0,"{SOLIDITY_CALL_WITHOUT_DATA,SOLIDITY_DEPRECATED_CONSTRUCTIONS,SOLIDITY_PRAGMAS_VERSION,SOLIDITY_REVERT_REQUIRE,SOLIDITY_UPGRADE_TO_050,SOLIDITY_VISIBILITY}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/insecure_transfer.sol,insecure_transfer.sol,smartcheck,solidity,2022/11/14,20250624_1548,1750780484.516571,2.5690712928771973,0,{SOLIDITY_PRAGMAS_VERSION},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/modifier_reentrancy.sol,modifier_reentrancy.sol,smartcheck,solidity,2022/11/14,20250624_1548,1750780751.6836336,2.941974639892578,0,"{SOLIDITY_PRAGMAS_VERSION,SOLIDITY_VISIBILITY}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/reentrance.sol,reentrance.sol,smartcheck,solidity,2022/11/14,20250624_1548,1750780543.8286498,2.52826189994812,0,"{SOLIDITY_CALL_WITHOUT_DATA,SOLIDITY_PRAGMAS_VERSION,SOLIDITY_UPGRADE_TO_050}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/reentrancy_dao.sol,reentrancy_dao.sol,smartcheck,solidity,2022/11/14,20250624_1548,1750780712.1980681,2.587632417678833,0,"{SOLIDITY_CALL_WITHOUT_DATA,SOLIDITY_PRAGMAS_VERSION,SOLIDITY_UPGRADE_TO_050,SOLIDITY_VISIBILITY}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/timelock.sol,timelock.sol,smartcheck,solidity,2022/11/14,20250624_1548,1750780196.1849349,3.1483657360076904,0,{SOLIDITY_PRAGMAS_VERSION},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/token.sol,token.sol,smartcheck,solidity,2022/11/14,20250624_1548,1750780487.0876272,2.5814950466156006,0,"{SOLIDITY_DEPRECATED_CONSTRUCTIONS,SOLIDITY_PRAGMAS_VERSION,SOLIDITY_UINT_CANT_BE_NEGATIVE,SOLIDITY_VISIBILITY}",{},{},{}
