filename,basename,toolid,toolmode,tool_args,parser_version,runid,start,duration,exit_code,findings,classified_findings,infos,errors,fails
/home/user/Documents/GitHub/TestContracts/Splits/Split2/BECToken.sol,BECToken.sol,confuzzius,solidity,,2022/12/31,d_20250816_1845,1755373590.9310522,52.750091552734375,1,{Integer_Overflow@264},"{INTEGER_OVERFLOW,OVERFLOW}",{},"{EXIT_CODE_1,ValueError exception is catched}",{exception (ValueError: invalid literal for int() with base 10: '1*')}
/home/user/Documents/GitHub/TestContracts/Splits/Split2/insecure_transfer.sol,insecure_transfer.sol,confuzzius,solidity,,2022/12/31,d_20250816_1845,1755372637.3169098,292.45161604881287,0,{},{},{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split2/integer_overflow_1.sol,integer_overflow_1.sol,confuzzius,solidity,,2022/12/31,d_20250816_1845,1755373646.0986764,291.88008642196655,0,{Integer_Overflow@14},"{INTEGER_OVERFLOW,OVERFLOW}",{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split2/integer_overflow_add.sol,integer_overflow_add.sol,confuzzius,solidity,,2022/12/31,d_20250816_1845,1755373940.423706,291.96637082099915,0,{Integer_Overflow@17},"{INTEGER_OVERFLOW,OVERFLOW}",{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split2/lottery.sol,lottery.sol,confuzzius,solidity,,2022/12/31,d_20250816_1845,1755372096.6712165,292.3338704109192,0,"{Block_Dependency@38,Transaction_Order_Dependency@42}","{FRONT_RUNNING,TOD,WEAK_RANDOMNESS}",{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split2/open_address_lottery.sol,open_address_lottery.sol,confuzzius,solidity,,2022/12/31,d_20250816_1845,1755373066.516041,291.71126222610474,0,"{Block_Dependency@63,Block_Dependency@79,Integer_Overflow@63}","{INTEGER_OVERFLOW,OVERFLOW,WEAK_RANDOMNESS}",{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split2/random_number_generator.sol,random_number_generator.sol,confuzzius,solidity,,2022/12/31,d_20250816_1845,1755374234.8228388,1.7536320686340332,0,{},{},{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split2/BECToken.sol,BECToken.sol,conkas,solidity,-vt time_manipulation,2022/11/11,d_20250816_1845,1755362832.7821803,50.08694267272949,0,{},{},{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split2/insecure_transfer.sol,insecure_transfer.sol,conkas,solidity,-vt time_manipulation,2022/11/11,d_20250816_1845,1755362888.7244291,1.0857126712799072,0,{},{},{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split2/integer_overflow_1.sol,integer_overflow_1.sol,conkas,solidity,-vt time_manipulation,2022/11/11,d_20250816_1845,1755362907.7640724,1.0235252380371094,0,{},{},{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split2/integer_overflow_add.sol,integer_overflow_add.sol,conkas,solidity,-vt time_manipulation,2022/11/11,d_20250816_1845,1755362914.5747561,1.0265445709228516,0,{},{},{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split2/lottery.sol,lottery.sol,conkas,solidity,-vt time_manipulation,2022/11/11,d_20250816_1845,1755362918.0152497,1.215555191040039,0,{},{},{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split2/open_address_lottery.sol,open_address_lottery.sol,conkas,solidity,-vt time_manipulation,2022/11/11,d_20250816_1845,1755362949.5791695,1.8355374336242676,0,{Time_Manipulation@73},{BLOCK_DEPENDENCE},{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split2/random_number_generator.sol,random_number_generator.sol,conkas,solidity,-vt time_manipulation,2022/11/11,d_20250816_1845,1755366584.9099643,1.4200825691223145,0,{},{},{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split2/BECToken.sol,BECToken.sol,maian,solidity,,2022/11/11,d_20250816_1845,1755373394.9810674,193.532240152359,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}","{SUICIDAL,UNCLASSIFIED,UNLOCKED_ETHER}",{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split2/insecure_transfer.sol,insecure_transfer.sol,maian,solidity,,2022/11/11,d_20250816_1845,1755372017.580448,28.31702160835266,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}","{SUICIDAL,UNCLASSIFIED,UNLOCKED_ETHER}",{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split2/integer_overflow_1.sol,integer_overflow_1.sol,maian,solidity,,2022/11/11,d_20250816_1845,1755372935.6116598,42.30974745750427,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}","{SUICIDAL,UNCLASSIFIED,UNLOCKED_ETHER}",{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split2/integer_overflow_add.sol,integer_overflow_add.sol,maian,solidity,,2022/11/11,d_20250816_1845,1755372983.8572378,29.477561712265015,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}","{SUICIDAL,UNCLASSIFIED,UNLOCKED_ETHER}",{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split2/lottery.sol,lottery.sol,maian,solidity,-c 0,2022/11/11,d_20250816_1845,1755362921.6337702,9.062573909759521,0,{},{},{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split2/open_address_lottery.sol,open_address_lottery.sol,maian,solidity,,2022/11/11,d_20250816_1845,1755372400.1089313,29.503546476364136,0,{No_prodigal_vulnerability_found},{UNCLASSIFIED},{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split2/random_number_generator.sol,random_number_generator.sol,maian,solidity,,2022/11/11,d_20250816_1845,1755373364.109544,28.436254024505615,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}","{SUICIDAL,UNCLASSIFIED,UNLOCKED_ETHER}",{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split2/BECToken.sol,BECToken.sol,mythril-0.24.7,solidity,,2024/03/24,d_20250816_1845,1755366594.421753,5412.294670343399,0,{},{},{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split2/insecure_transfer.sol,insecure_transfer.sol,mythril-0.24.7,solidity,--modules ArbitraryDelegateCall,2024/03/24,d_20250816_1845,1755362892.274731,9.574416875839233,0,{},{},{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split2/integer_overflow_1.sol,integer_overflow_1.sol,mythril-0.24.7,solidity,,2024/03/24,d_20250816_1845,1755372052.918494,13.200408935546875,1,{Integer_Arithmetic_Bugs_SWC_101@14},"{INTEGER_OVERFLOW,OVERFLOW,UNDERFLOW}",{},{},{}
