filename,basename,toolid,toolmode,tool_args,parser_version,runid,start,duration,exit_code,findings,classified_findings,infos,errors,fails
samples/Split3/ERC20.sol,ERC20.sol,confuzzius,solidity,,2022/12/31,20250902_1342,1756813816.6692226,4.789579153060913,0,{},{},{},{},{}
samples/Split3/FindThisHash.sol,FindThisHash.sol,confuzzius,solidity,,2022/12/31,20250902_1342,1756813823.8809538,2.0892646312713623,0,{},{},{},{},{}
samples/Split3/eth_tx_order_dependence_minimal.sol,eth_tx_order_dependence_minimal.sol,confuzzius,solidity,,2022/12/31,20250902_1342,1756813750.3094625,3.542034149169922,0,{},{},{},{},{}
samples/Split3/roulette.sol,roulette.sol,confuzzius,solidity,,2022/12/31,20250902_1342,1756813856.3058023,2.0456972122192383,0,{Block_Dependency@20},{WEAK_RANDOMNESS},{},{},{}
samples/Split3/unprotected0.sol,unprotected0.sol,confuzzius,solidity,,2022/12/31,20250902_1342,1756813860.7817764,2.079510450363159,0,{},{},{},{},{}
samples/Split3/wallet_02_refund_nosub.sol,wallet_02_refund_nosub.sol,confuzzius,solidity,,2022/12/31,20250902_1342,1756813802.8113937,4.691930770874023,0,"{Assertion_Failure@24,Transaction_Order_Dependency@25,Transaction_Order_Dependency@31}","{ASSERT_VIOLATION,FRONT_RUNNING,TOD}",{},{},{}
samples/Split3/wallet_03_wrong_constructor.sol,wallet_03_wrong_constructor.sol,confuzzius,solidity,,2022/12/31,20250902_1342,1756813809.9339602,4.306369304656982,0,"{Assertion_Failure@24,Leaking_Ether@38,Transaction_Order_Dependency@20}","{ARBITRARY_SEND,ASSERT_VIOLATION,FRONT_RUNNING,TOD,UNLOCKED_ETHER}",{},{},{}
samples/Split3/ERC20.sol,ERC20.sol,conkas,solidity,-vt time_manipulation,2022/11/11,20250902_1342,1756813350.9409666,1.3991107940673828,0,{},{},{},{},{}
samples/Split3/FindThisHash.sol,FindThisHash.sol,conkas,solidity,-vt time_manipulation,2022/11/11,20250902_1342,1756813370.5057652,1.1888742446899414,0,{},{},{},{},{}
samples/Split3/eth_tx_order_dependence_minimal.sol,eth_tx_order_dependence_minimal.sol,conkas,solidity,-vt time_manipulation,2022/11/11,20250902_1342,1756813377.788304,1.069936990737915,0,{},{},{},{},{}
samples/Split3/roulette.sol,roulette.sol,conkas,solidity,-vt time_manipulation,2022/11/11,20250902_1342,1756813397.855204,1.031247854232788,0,"{Time_Manipulation@18,Time_Manipulation@20,Time_Manipulation@21}",{BLOCK_DEPENDENCE},{},{},{}
samples/Split3/unprotected0.sol,unprotected0.sol,conkas,solidity,-vt time_manipulation,2022/11/11,20250902_1342,1756813408.5744636,1.1902186870574951,0,{},{},{},{},{}
