filename,basename,toolid,toolmode,tool_args,parser_version,runid,start,duration,exit_code,findings,classified_findings,infos,errors,fails
/home/user/Documents/GitHub/TestContracts/Splits/Split1/etherbank.sol,etherbank.sol,confuzzius,solidity,,2022/12/31,d_20250712_1733,1752334860.0494645,893.0653791427612,0,"{Reentrancy@21,Transaction_Order_Dependency@15}","{FRONT_RUNNING,REENTRANCY,TOD}",{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split1/insecure_transfer.sol,insecure_transfer.sol,confuzzius,solidity,,2022/12/31,d_20250712_1733,1752335755.6524527,892.2688086032867,0,{},{},{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split1/modifier_reentrancy.sol,modifier_reentrancy.sol,confuzzius,solidity,,2022/12/31,d_20250712_1733,1752336750.463237,875.2214560508728,0,{Reentrancy@21},{REENTRANCY},{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split1/reentrance.sol,reentrance.sol,confuzzius,solidity,,2022/12/31,d_20250712_1733,1752337667.0199327,892.3817579746246,0,"{Reentrancy@24,Transaction_Order_Dependency@14,Unhandled_Exception@24}","{FRONT_RUNNING,LOW_LEVEL_CALL,REENTRANCY,TOD}",{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split1/reentrancy_dao.sol,reentrancy_dao.sol,confuzzius,solidity,,2022/12/31,d_20250712_1733,1752338606.1478374,893.4370543956757,0,{},{},{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split1/timelock.sol,timelock.sol,confuzzius,solidity,,2022/12/31,d_20250712_1733,1752339502.3970885,892.7464311122894,0,"{Block_Dependency@17,Block_Dependency@27,Integer_Overflow@22,Transaction_Order_Dependency@16}","{FRONT_RUNNING,INTEGER_OVERFLOW,OVERFLOW,TOD,WEAK_RANDOMNESS}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split1/token.sol,token.sol,confuzzius,solidity,,2022/12/31,d_20250712_1733,1752340443.8066127,892.2424356937408,0,"{Integer_Overflow@20,Integer_Overflow@22,Integer_Overflow@23}","{INTEGER_OVERFLOW,OVERFLOW}",{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split1/etherbank.sol,etherbank.sol,conkas,solidity,"-vt time_manipulation,unchecked_ll_calls",2022/11/11,d_20250712_1733,1752334442.582298,1.8690845966339111,0,{},{},{},{},"{""exception (KeyError: 'time_manipulation,unchecked_ll_calls')""}"
/home/user/Documents/GitHub/TestContracts/Splits/Split1/insecure_transfer.sol,insecure_transfer.sol,conkas,solidity,-vt time_manipulation,2022/11/11,d_20250712_1733,1752334455.0917075,1.163759708404541,0,{},{},{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split1/modifier_reentrancy.sol,modifier_reentrancy.sol,conkas,solidity,-vt time_manipulation,2022/11/11,d_20250712_1733,1752334501.8610518,1.238701343536377,0,{},{},{},{},{}
