filename,basename,toolid,toolmode,tool_args,parser_version,runid,start,duration,exit_code,findings,classified_findings,infos,errors,fails
samples/Split4/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,confuzzius,solidity,,2022/12/31,20250902_1352,1756814663.7172167,12.783994436264038,0,{Assertion_Failure@83},{ASSERT_VIOLATION},{},{},{}
samples/Split4/0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,confuzzius,solidity,,2022/12/31,20250902_1352,1756814684.2371774,11.447697162628174,0,"{Assertion_Failure@83,Reentrancy@54,Transaction_Order_Dependency@23,Transaction_Order_Dependency@43,Transaction_Order_Dependency@56}","{ASSERT_VIOLATION,FRONT_RUNNING,REENTRANCY,TOD}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
samples/Split4/0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,confuzzius,solidity,,2022/12/31,20250902_1352,1756814698.1107514,8.85961651802063,0,"{Assertion_Failure@75,Reentrancy@52,Transaction_Order_Dependency@42,Transaction_Order_Dependency@54}","{ASSERT_VIOLATION,FRONT_RUNNING,REENTRANCY,TOD}",{},{},{}
samples/Split4/0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,confuzzius,solidity,,2022/12/31,20250902_1352,1756814714.6063042,9.332600831985474,0,"{Assertion_Failure@72,Block_Dependency@17}","{ASSERT_VIOLATION,WEAK_RANDOMNESS}",{},{},{}
samples/Split4/0x8c7777c45481dba411450c228cb692ac3d550344.sol,0x8c7777c45481dba411450c228cb692ac3d550344.sol,confuzzius,solidity,,2022/12/31,20250902_1352,1756814731.4248025,11.072456121444702,0,"{Assertion_Failure@64,Reentrancy@41}","{ASSERT_VIOLATION,REENTRANCY}",{},{},{}
samples/Split4/guess_the_random_number.sol,guess_the_random_number.sol,confuzzius,solidity,,2022/12/31,20250902_1352,1756814950.546606,1.7425756454467773,254,{},{},{},"{EXIT_CODE_254,Problem while deploying contract GuessTheRandomNumberChallenge using account 0xcafebabecafebabecafebabecafebabecafebabe. Error message: b''}",{}
samples/Split4/short_address_example.sol,short_address_example.sol,confuzzius,solidity,,2022/12/31,20250902_1352,1756814776.4288347,1.978449821472168,0,{},{},{},{},{}
samples/Split4/smart_billions.sol,smart_billions.sol,confuzzius,solidity,,2022/12/31,20250902_1352,1756814809.1473916,25.69989848136902,,{},{},{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{DOCKER_TIMEOUT}
samples/Split4/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,conkas,solidity,"-vt time_manipulation,unchecked_ll_calls",2022/11/11,20250902_1352,1756814034.7512438,2.9569358825683594,0,{},{},{},{},"{""exception (KeyError: 'time_manipulation,unchecked_ll_calls')""}"
samples/Split4/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,conkas,solidity,-vt unchecked_ll_calls,2022/11/11,20250902_1352,1756814629.9986217,2.9448609352111816,0,{},{},{},{},{}
samples/Split4/0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,conkas,solidity,"-vt time_manipulation,unchecked_ll_calls",2022/11/11,20250902_1352,1756814086.419514,2.849193572998047,0,{},{},{},{},"{""exception (KeyError: 'time_manipulation,unchecked_ll_calls')""}"
samples/Split4/0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,conkas,solidity,-vt unchecked_ll_calls,2022/11/11,20250902_1352,1756814678.920952,2.8916738033294678,0,{},{},{},{},{}
samples/Split4/0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,conkas,solidity,"-vt time_manipulation,unchecked_ll_calls",2022/11/11,20250902_1352,1756814137.731841,2.6521596908569336,0,{},{},{},{},"{""exception (KeyError: 'time_manipulation,unchecked_ll_calls')""}"
samples/Split4/0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,conkas,solidity,"-vt time_manipulation,unchecked_ll_calls",2022/11/11,20250902_1352,1756814187.2855103,2.7691266536712646,0,{},{},{},{},"{""exception (KeyError: 'time_manipulation,unchecked_ll_calls')""}"
samples/Split4/0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,conkas,solidity,-vt unchecked_ll_calls,2022/11/11,20250902_1352,1756814709.4181082,2.7642290592193604,0,{},{},{},{},{}
samples/Split4/0x8c7777c45481dba411450c228cb692ac3d550344.sol,0x8c7777c45481dba411450c228cb692ac3d550344.sol,conkas,solidity,"-vt time_manipulation,unchecked_ll_calls",2022/11/11,20250902_1352,1756814237.2730794,2.6952285766601562,0,{},{},{},{},"{""exception (KeyError: 'time_manipulation,unchecked_ll_calls')""}"
samples/Split4/0x8c7777c45481dba411450c228cb692ac3d550344.sol,0x8c7777c45481dba411450c228cb692ac3d550344.sol,conkas,solidity,-vt unchecked_ll_calls,2022/11/11,20250902_1352,1756814726.3598456,2.6425819396972656,0,{},{},{},{},{}
samples/Split4/guess_the_random_number.sol,guess_the_random_number.sol,conkas,solidity,-vt time_manipulation,2022/11/11,20250902_1352,1756814258.3610218,1.1294734477996826,0,{},{},{},{},{}
samples/Split4/short_address_example.sol,short_address_example.sol,conkas,solidity,-vt time_manipulation,2022/11/11,20250902_1352,1756814279.696712,1.0501818656921387,0,{},{},{},{},{}
samples/Split4/smart_billions.sol,smart_billions.sol,conkas,solidity,-vt time_manipulation,2022/11/11,20250902_1352,1756814286.8488207,6.7023913860321045,0,{},{},{},{PHI instruction need arguments but 0 was given},{}
samples/Split4/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,maian,solidity,,2022/11/11,20250902_1352,1756814348.7440445,25.64070725440979,,"{No_Ether_leak_no_send,Not_destructible_no_self_destruct}","{SUICIDAL,UNLOCKED_ETHER}",{},{},{DOCKER_TIMEOUT}
samples/Split4/0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,maian,solidity,,2022/11/11,20250902_1352,1756814385.2322779,25.667327642440796,,"{No_Ether_leak_no_send,Not_destructible_no_self_destruct}","{SUICIDAL,UNLOCKED_ETHER}",{},{},{DOCKER_TIMEOUT}
samples/Split4/0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,maian,solidity,,2022/11/11,20250902_1352,1756814421.8037734,25.637022733688354,,"{No_Ether_leak_no_send,Not_destructible_no_self_destruct}","{SUICIDAL,UNLOCKED_ETHER}",{},{},{DOCKER_TIMEOUT}
samples/Split4/0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,maian,solidity,,2022/11/11,20250902_1352,1756814458.1550877,25.606132984161377,,"{No_Ether_leak_no_send,Not_destructible_no_self_destruct}","{SUICIDAL,UNLOCKED_ETHER}",{},{},{DOCKER_TIMEOUT}
samples/Split4/0x8c7777c45481dba411450c228cb692ac3d550344.sol,0x8c7777c45481dba411450c228cb692ac3d550344.sol,maian,solidity,,2022/11/11,20250902_1352,1756814494.5588474,25.75443196296692,,"{No_prodigal_vulnerability_found,Not_destructible_no_self_destruct}","{SUICIDAL,UNCLASSIFIED}",{},{},{DOCKER_TIMEOUT}
samples/Split4/guess_the_random_number.sol,guess_the_random_number.sol,maian,solidity,,2022/11/11,20250902_1352,1756814748.403694,25.5921893119812,,{Not_destructible_no_self_destruct},{SUICIDAL},{},{},{DOCKER_TIMEOUT}
samples/Split4/short_address_example.sol,short_address_example.sol,maian,solidity,,2022/11/11,20250902_1352,1756814563.9481907,25.622405767440796,,{Not_destructible_no_self_destruct},{SUICIDAL},{},{},{DOCKER_TIMEOUT}
samples/Split4/smart_billions.sol,smart_billions.sol,maian,solidity,,2022/11/11,20250902_1352,1756814601.9797952,25.588855981826782,,"{No_Ether_leak_no_send,Not_destructible_no_self_destruct}","{SUICIDAL,UNLOCKED_ETHER}",{},{},{DOCKER_TIMEOUT}
samples/Split4/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,mythril-0.24.7,solidity,--modules Exceptions,2024/03/24,20250902_1352,1756814635.3531744,25.925516605377197,,{},{},{},{},{DOCKER_TIMEOUT}
samples/Split4/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,mythril-0.24.7,solidity,--modules ExternalCalls,2024/03/24,20250902_1352,1756814006.467547,25.844128608703613,,{},{},{},{},{DOCKER_TIMEOUT}
samples/Split4/0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,mythril-0.24.7,solidity,--modules Exceptions,2024/03/24,20250902_1352,1756814837.2849083,25.89734435081482,,{},{},{},{},{DOCKER_TIMEOUT}
samples/Split4/0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,mythril-0.24.7,solidity,--modules ExternalCalls,2024/03/24,20250902_1352,1756814058.1959386,25.78516173362732,,{},{},{},{},{DOCKER_TIMEOUT}
samples/Split4/0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,mythril-0.24.7,solidity,--modules Exceptions,2024/03/24,20250902_1352,1756814865.614659,25.827414751052856,,{},{},{},{},{DOCKER_TIMEOUT}
