filename,basename,toolid,toolmode,tool_args,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
/home/user/Documents/GitHub/smartbugs-curated/Splits/QuartoSplit/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,confuzzius,solidity,,2022/12/31,20250707_2207,1751924712.5533218,284.13305830955505,0,"{Assertion_Failure@83,Reentrancy@44,Reentrancy@54,Transaction_Order_Dependency@23}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
/home/user/Documents/GitHub/smartbugs-curated/Splits/QuartoSplit/0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,confuzzius,solidity,,2022/12/31,20250707_2207,1751922969.7447767,282.20585465431213,0,"{Assertion_Failure@83,Reentrancy@44,Reentrancy@54,Transaction_Order_Dependency@43}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Splits/QuartoSplit/0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,confuzzius,solidity,,2022/12/31,20250707_2207,1751927447.695985,284.576539516449,0,"{Assertion_Failure@75,Reentrancy@52,Transaction_Order_Dependency@33,Transaction_Order_Dependency@42}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Splits/QuartoSplit/0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,confuzzius,solidity,,2022/12/31,20250707_2207,1751921679.876222,282.54764008522034,0,"{Assertion_Failure@72,Block_Dependency@17,Block_Dependency@26,Reentrancy@29,Transaction_Order_Dependency@16}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Splits/QuartoSplit/0x8c7777c45481dba411450c228cb692ac3d550344.sol,0x8c7777c45481dba411450c228cb692ac3d550344.sol,confuzzius,solidity,,2022/12/31,20250707_2207,1751919402.2754688,281.9017388820648,0,"{Assertion_Failure@64,Reentrancy@41,Transaction_Order_Dependency@29}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Splits/QuartoSplit/guess_the_random_number.sol,guess_the_random_number.sol,confuzzius,solidity,,2022/12/31,20250707_2207,1751921384.4429386,2.5191643238067627,254,{},{},"{EXIT_CODE_254,Problem while deploying contract GuessTheRandomNumberChallenge using account 0xcafebabecafebabecafebabecafebabecafebabe. Error message: b''}",{}
/home/user/Documents/GitHub/smartbugs-curated/Splits/QuartoSplit/short_address_example.sol,short_address_example.sol,confuzzius,solidity,,2022/12/31,20250707_2207,1751921386.9628947,291.7356798648834,0,{},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Splits/QuartoSplit/smart_billions.sol,smart_billions.sol,confuzzius,solidity,,2022/12/31,20250707_2207,1751923796.8608437,144.06770634651184,0,"{Assertion_Failure@100,Assertion_Failure@11,Assertion_Failure@146,Assertion_Failure@155,Assertion_Failure@172,Assertion_Failure@177,Block_Dependency@361,Block_Dependency@517,Block_Dependency@518,Block_Dependency@550,Block_Dependency@552,Block_Dependency@574,Block_Dependency@618,Block_Dependency@626,Block_Dependency@646,Block_Dependency@647,Leaking_Ether@372}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
/home/user/Documents/GitHub/smartbugs-curated/Splits/QuartoSplit/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,conkas,solidity,,2022/11/11,20250707_2207,1751921315.732956,59.42725157737732,0,"{Integer_Overflow@43,Integer_Overflow@73,Integer_Overflow@83,Integer_Overflow@87,Integer_Overflow@94,Integer_Underflow@94,Reentrancy@44,Reentrancy@54,Reentrancy@57,Time_Manipulation@91,Time_Manipulation@94}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Splits/QuartoSplit/0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,conkas,solidity,,2022/11/11,20250707_2207,1751919860.4690602,62.21933627128601,0,"{Integer_Overflow@43,Integer_Overflow@73,Integer_Overflow@83,Integer_Overflow@87,Integer_Overflow@94,Integer_Underflow@94,Reentrancy@44,Reentrancy@54,Reentrancy@57,Time_Manipulation@91,Time_Manipulation@94}",{},{},{}
