filename,basename,toolid,toolmode,tool_args,parser_version,runid,start,duration,exit_code,findings,classified_findings,infos,errors,fails
/home/user/Documents/GitHub/TestContracts/Splits/Split3/ERC20.sol,ERC20.sol,confuzzius,solidity,,2022/12/31,d_20250712_2142,1752353289.9130008,442.4538493156433,0,{},{},{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split3/FindThisHash.sol,FindThisHash.sol,confuzzius,solidity,,2022/12/31,d_20250712_2142,1752353734.7934556,892.4378616809845,0,{},{},{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split3/eth_tx_order_dependence_minimal.sol,eth_tx_order_dependence_minimal.sol,confuzzius,solidity,,2022/12/31,d_20250712_2142,1752350555.8243248,892.2508285045624,0,"{Leaking_Ether@31,Transaction_Order_Dependency@24}","{ARBITRARY_SEND,FRONT_RUNNING,TOD,UNLOCKED_ETHER}",{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split3/roulette.sol,roulette.sol,confuzzius,solidity,,2022/12/31,d_20250712_2142,1752354662.071316,892.326025724411,0,"{Block_Dependency@18,Block_Dependency@20}",{WEAK_RANDOMNESS},{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split3/unprotected0.sol,unprotected0.sol,confuzzius,solidity,,2022/12/31,d_20250712_2142,1752355556.8604555,892.5736336708069,0,{},{},{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split3/wallet_02_refund_nosub.sol,wallet_02_refund_nosub.sol,confuzzius,solidity,,2022/12/31,d_20250712_2142,1752351499.7589555,893.0500640869141,0,"{Assertion_Failure@24,Transaction_Order_Dependency@25,Transaction_Order_Dependency@31}","{ASSERT_VIOLATION,FRONT_RUNNING,TOD}",{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split3/wallet_03_wrong_constructor.sol,wallet_03_wrong_constructor.sol,confuzzius,solidity,,2022/12/31,d_20250712_2142,1752352395.2345965,892.2357461452484,0,"{Assertion_Failure@24,Leaking_Ether@38,Transaction_Order_Dependency@20,Transaction_Order_Dependency@25,Transaction_Order_Dependency@31}","{ARBITRARY_SEND,ASSERT_VIOLATION,FRONT_RUNNING,TOD,UNLOCKED_ETHER}",{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split3/ERC20.sol,ERC20.sol,conkas,solidity,-vt time_manipulation,2022/11/11,d_20250712_2142,1752349374.9272647,1.7557179927825928,0,{},{},{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split3/FindThisHash.sol,FindThisHash.sol,conkas,solidity,-vt time_manipulation,2022/11/11,d_20250712_2142,1752349423.6207943,1.2406032085418701,0,{},{},{},{},{}
/home/user/Documents/GitHub/TestContracts/Splits/Split3/eth_tx_order_dependence_minimal.sol,eth_tx_order_dependence_minimal.sol,conkas,solidity,-vt time_manipulation,2022/11/11,d_20250712_2142,1752349430.9482508,1.1349616050720215,0,{},{},{},{},{}
