filename,basename,toolid,toolmode,tool_args,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/etherbank.sol,etherbank.sol,confuzzius,solidity,,2022/12/31,20250624_1723,1750778734.866047,3.144714593887329,0,{Reentrancy},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/insecure_transfer.sol,insecure_transfer.sol,confuzzius,solidity,,2022/12/31,20250624_1723,1750778740.5028582,2.2486133575439453,0,{},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/modifier_reentrancy.sol,modifier_reentrancy.sol,confuzzius,solidity,,2022/12/31,20250624_1723,1750778745.2450204,3.275555372238159,0,{},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/reentrance.sol,reentrance.sol,confuzzius,solidity,,2022/12/31,20250624_1723,1750778751.0217028,3.878683090209961,0,"{Reentrancy,Unhandled_Exception}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/reentrancy_dao.sol,reentrancy_dao.sol,confuzzius,solidity,,2022/12/31,20250624_1723,1750778757.387195,2.5763871669769287,0,"{Reentrancy,Transaction_Order_Dependency}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/timelock.sol,timelock.sol,confuzzius,solidity,,2022/12/31,20250624_1723,1750778762.461902,3.9103915691375732,0,"{Block_Dependency,Integer_Overflow}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/token.sol,token.sol,confuzzius,solidity,,2022/12/31,20250624_1723,1750778728.011688,4.351628065109253,0,{Integer_Overflow},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/etherbank.sol,etherbank.sol,confuzzius,solidity,,2022/12/31,20250624_1817,1750781977.5591888,2.7543749809265137,0,"{Reentrancy,Transaction_Order_Dependency}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/insecure_transfer.sol,insecure_transfer.sol,confuzzius,solidity,,2022/12/31,20250624_1817,1750781982.7159414,2.0021231174468994,0,{},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/modifier_reentrancy.sol,modifier_reentrancy.sol,confuzzius,solidity,,2022/12/31,20250624_1817,1750781987.1244109,2.896515130996704,0,{},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/reentrance.sol,reentrance.sol,confuzzius,solidity,,2022/12/31,20250624_1817,1750781992.415083,3.455397367477417,0,"{Reentrancy,Unhandled_Exception}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/reentrancy_dao.sol,reentrancy_dao.sol,confuzzius,solidity,,2022/12/31,20250624_1817,1750781998.2771394,2.2412729263305664,0,"{Reentrancy,Transaction_Order_Dependency}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/timelock.sol,timelock.sol,confuzzius,solidity,,2022/12/31,20250624_1817,1750782002.9309804,3.7398810386657715,0,"{Block_Dependency,Integer_Overflow,Transaction_Order_Dependency}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/token.sol,token.sol,confuzzius,solidity,,2022/12/31,20250624_1817,1750781972.2024264,2.9190521240234375,0,{Integer_Overflow},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/etherbank.sol,etherbank.sol,confuzzius,solidity,,2022/12/31,20250624_2346,1750801741.2086446,2.690014362335205,0,"{Reentrancy,Transaction_Order_Dependency}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/insecure_transfer.sol,insecure_transfer.sol,confuzzius,solidity,,2022/12/31,20250624_2346,1750801746.3189392,2.104663133621216,0,{},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/modifier_reentrancy.sol,modifier_reentrancy.sol,confuzzius,solidity,,2022/12/31,20250624_2346,1750801750.8285856,3.065584182739258,0,{},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/reentrance.sol,reentrance.sol,confuzzius,solidity,,2022/12/31,20250624_2346,1750801756.303426,3.097947120666504,0,"{Reentrancy,Unhandled_Exception}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/reentrancy_dao.sol,reentrancy_dao.sol,confuzzius,solidity,,2022/12/31,20250624_2346,1750801761.8086905,2.3368120193481445,0,"{Reentrancy,Transaction_Order_Dependency}",{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/timelock.sol,timelock.sol,confuzzius,solidity,,2022/12/31,20250624_2346,1750801766.5506325,4.159435033798218,0,"{Block_Dependency,Integer_Overflow}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
/home/user/Documents/GitHub/smartbugs-curated/Primo split per testing/token.sol,token.sol,confuzzius,solidity,,2022/12/31,20250624_2346,1750801735.4949393,3.270317792892456,0,{Integer_Overflow},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/SecondoSplit/BECToken.sol,BECToken.sol,confuzzius,solidity,,2022/12/31,20250627_1542,1751031745.7414997,27.697192192077637,0,{Integer_Overflow},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/SecondoSplit/insecure_transfer.sol,insecure_transfer.sol,confuzzius,solidity,,2022/12/31,20250627_1542,1751035652.067702,2.8522233963012695,0,{},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/SecondoSplit/integer_overflow_1.sol,integer_overflow_1.sol,confuzzius,solidity,,2022/12/31,20250627_1542,1751031788.6600225,2.1639437675476074,0,{Integer_Overflow},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/SecondoSplit/integer_overflow_add.sol,integer_overflow_add.sol,confuzzius,solidity,,2022/12/31,20250627_1542,1751031793.234475,2.392591714859009,0,{},{},{},{}
/home/user/Documents/GitHub/smartbugs-curated/SecondoSplit/lottery.sol,lottery.sol,confuzzius,solidity,,2022/12/31,20250627_1542,1751035717.8356974,3.5926096439361572,0,"{Block_Dependency,Transaction_Order_Dependency}",{},{},{}
